"generation","mean_n_sv","sd_n_sv","n_samples","sem_n_sv"
"P15",12.7,10.7708454223014,10,3.40604038600706
"P25",21.375,8.68393426309264,8,3.0702344024055
"P27",20.8888888888889,7.35602549690464,9,2.45200849896821
"P30",9.6,16.6012047755577,10,5.24976189936268
"P50",21.2,8.28385310240484,10,2.61958436058513
"P65",30.4,14.1527382509534,5,6.32929695937866
