passage,g_start,g_end,replicate,lineage_group,category,n_variants,orfs
stressed_P25_P27,P25,P27,8,lineages_6_10,shared,16,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,8,lineages_6_10,gained_end,1,CyHV3_ORF19
stressed_P25_P27,P25,P27,8,lineages_6_10,lost_from_start,2,CyHV3_ORF19;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48
stressed_P25_P27,P25,P27,9,lineages_6_10,shared,8,CyHV3_ORF156;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64
stressed_P25_P27,P25,P27,9,lineages_6_10,gained_end,12,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF19;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,9,lineages_6_10,lost_from_start,8,CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF97;Intergenic
stressed_P25_P27,P25,P27,10,lineages_6_10,shared,3,CyHV3_ORF64;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,10,lineages_6_10,gained_end,13,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF6_1;Intergenic
stressed_P25_P27,P25,P27,10,lineages_6_10,lost_from_start,3,CyHV3_ORF19;CyHV3_ORF49;CyHV3_ORF52;Intergenic
control_P30_P50,P30,P50,1,lineages_1_5,shared,9,CyHV3_ORF101;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF64
