passage,g_start,g_end,replicate,lineage_group,category,n_variants,orfs
control_P15_P25,P15,P25,6,lineages_6_10,lost_from_start,36,CyHV3_ORF11;CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF124;CyHV3_ORF139;CyHV3_ORF148;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF60;CyHV3_ORF61;CyHV3_ORF64;CyHV3_ORF68;CyHV3_ORF69;CyHV3_ORF6_1;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF7_1;CyHV3_ORF84;CyHV3_ORF85;CyHV3_ORF89;CyHV3_ORF8_1;CyHV3_ORF97;Intergenic
control_P15_P25,P15,P25,7,lineages_6_10,shared,0,
control_P15_P25,P15,P25,7,lineages_6_10,gained_end,23,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF89;Intergenic
control_P15_P25,P15,P25,7,lineages_6_10,lost_from_start,5,CyHV3_ORF131;CyHV3_ORF154;CyHV3_ORF19;CyHV3_ORF5_1;CyHV3_ORF97
control_P15_P25,P15,P25,8,lineages_6_10,shared,0,
control_P15_P25,P15,P25,8,lineages_6_10,gained_end,18,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF89;Intergenic
control_P15_P25,P15,P25,8,lineages_6_10,lost_from_start,4,CyHV3_ORF19;CyHV3_ORF49;CyHV3_ORF50;CyHV3_ORF51;CyHV3_ORF65;CyHV3_ORF97
control_P15_P25,P15,P25,9,lineages_6_10,shared,0,
control_P15_P25,P15,P25,9,lineages_6_10,gained_end,16,CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF97;Intergenic
control_P15_P25,P15,P25,9,lineages_6_10,lost_from_start,3,CyHV3_ORF122;CyHV3_ORF123;CyHV3_ORF19;CyHV3_ORF97
control_P15_P25,P15,P25,10,lineages_6_10,shared,0,
control_P15_P25,P15,P25,10,lineages_6_10,gained_end,6,CyHV3_ORF19;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF89;Intergenic
control_P15_P25,P15,P25,10,lineages_6_10,lost_from_start,5,CyHV3_ORF19;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF6_1;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF97
stressed_P25_P27,P25,P27,1,lineages_1_5,shared,0,
stressed_P25_P27,P25,P27,1,lineages_1_5,gained_end,0,
stressed_P25_P27,P25,P27,1,lineages_1_5,lost_from_start,26,CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF145;CyHV3_ORF148;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF89;CyHV3_ORF97;Intergenic
stressed_P25_P27,P25,P27,2,lineages_1_5,shared,2,CyHV3_ORF122;Intergenic
stressed_P25_P27,P25,P27,2,lineages_1_5,gained_end,9,CyHV3_ORF110;CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF148;CyHV3_ORF149;Intergenic
stressed_P25_P27,P25,P27,2,lineages_1_5,lost_from_start,34,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF156;CyHV3_ORF17;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF68;CyHV3_ORF69;CyHV3_ORF6_1;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF84;CyHV3_ORF85;CyHV3_ORF89;CyHV3_ORF97;CyHV3_ORF99;Intergenic
stressed_P25_P27,P25,P27,3,lineages_1_5,shared,20,CyHV3_ORF101;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF156;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF68;CyHV3_ORF69;CyHV3_ORF6_1;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF89;CyHV3_ORF97;Intergenic
stressed_P25_P27,P25,P27,3,lineages_1_5,gained_end,10,CyHV3_ORF145;CyHV3_ORF19;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF64;CyHV3_ORF69;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF97;Intergenic
stressed_P25_P27,P25,P27,3,lineages_1_5,lost_from_start,5,CyHV3_ORF110;CyHV3_ORF19;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF97
stressed_P25_P27,P25,P27,4,lineages_1_5,shared,12,CyHV3_ORF101;CyHV3_ORF156;CyHV3_ORF1_1;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,4,lineages_1_5,gained_end,11,CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF84;CyHV3_ORF85;CyHV3_ORF97;Intergenic
stressed_P25_P27,P25,P27,4,lineages_1_5,lost_from_start,9,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF25;Intergenic
stressed_P25_P27,P25,P27,5,lineages_1_5,shared,0,
stressed_P25_P27,P25,P27,5,lineages_1_5,gained_end,15,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF110;CyHV3_ORF17;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF84;CyHV3_ORF85;CyHV3_ORF89;CyHV3_ORF97;CyHV3_ORF99;Intergenic
stressed_P25_P27,P25,P27,5,lineages_1_5,lost_from_start,0,
stressed_P25_P27,P25,P27,6,lineages_6_10,shared,0,
stressed_P25_P27,P25,P27,6,lineages_6_10,gained_end,22,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,6,lineages_6_10,lost_from_start,0,
stressed_P25_P27,P25,P27,7,lineages_6_10,shared,16,CyHV3_ORF101;CyHV3_ORF135;CyHV3_ORF156;CyHV3_ORF1_1;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF89;Intergenic
stressed_P25_P27,P25,P27,7,lineages_6_10,gained_end,18,CyHV3_ORF101;CyHV3_ORF110;CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF122;CyHV3_ORF139;CyHV3_ORF148;CyHV3_ORF17;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF69;CyHV3_ORF6_1;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF7_1;CyHV3_ORF8_1;CyHV3_ORF97;CyHV3_ORF99;Intergenic
stressed_P25_P27,P25,P27,7,lineages_6_10,lost_from_start,7,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF19;CyHV3_ORF49;CyHV3_ORF52;CyHV3_ORF64;CyHV3_ORF6_1
